Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Aunt Marge;He'd have been straight to an orphanage if he'd been dumped on my doorstep.;['he', 'have', 'been', 'straight', 'to', 'an', 'orphanage', 'if', 'he', 'been', 'dumped', 'on', 'my', 'doorstep'];['he', 'have', 'been', 'straight', 'to', 'an', 'orphanage', 'if', 'he', 'been', 'dumped', 'on', 'my', 'doorstep'];['straight', 'orphanage', 'dumped', 'doorstep']
Aunt Marge;Is that my Dudders?;['is', 'that', 'my', 'dudders'];['is', 'that', 'my', 'dudders'];['dudders']
Aunt Marge;Is that my little neffy-pooh?;['is', 'that', 'my', 'little'];['is', 'that', 'my', 'little'];['little']
Aunt Marge;Give us a kiss. Come on. Up, up.;['give', 'us', 'a', 'kiss', 'come', 'on', 'up', 'up'];['give', 'u', 'a', 'kiss', 'come', 'on', 'up', 'up'];['give', 'u', 'kiss']
Uncle Vernon;Take Marge's suitcase upstairs.;['take', 'marge', 'suitcase', 'upstairs'];['take', 'marge', 'suitcase', 'upstairs'];['take', 'marge', 'suitcase', 'upstairs']
Harry;Okay.;['okay'];['okay'];['okay']
Aunt Marge;Finish that off for Mommy.;['finish', 'that', 'off', 'for', 'mommy'];['finish', 'that', 'off', 'for', 'mommy'];['finish', 'mommy']
Aunt Marge;Good boy, Rippy-pooh.;['good', 'boy'];['good', 'boy'];['good', 'boy']
Uncle Vernon;Can I tempt you, Marge?;['can', 'i', 'tempt', 'you', 'marge'];['can', 'i', 'tempt', 'you', 'marge'];['tempt', 'marge']
Aunt Marge;Just a small one.;['just', 'a', 'small', 'one'];['just', 'a', 'small', 'one'];['small', 'one']
Aunt Marge;Excellent nosh, Petunia.;['excellent', 'nosh', 'petunia'];['excellent', 'nosh', 'petunia'];['excellent', 'nosh', 'petunia']
Aunt Marge;A bit more.;['a', 'bit', 'more'];['a', 'bit', 'more'];['bit']
Aunt Marge;Usually just a fry-up for me, what with 12 dogs.;['usually', 'just', 'a', 'for', 'me', 'what', 'with', 'dogs'];['usually', 'just', 'a', 'for', 'me', 'what', 'with', 'dog'];['usually', 'dog']
Aunt Marge;Just a bit more. That's a boy.;['just', 'a', 'bit', 'more', 'that', 'a', 'boy'];['just', 'a', 'bit', 'more', 'that', 'a', 'boy'];['bit', 'boy']
Aunt Marge;You wanna try a little drop of brandy?;['you', 'wan', 'na', 'try', 'a', 'little', 'drop', 'of', 'brandy'];['you', 'wan', 'na', 'try', 'a', 'little', 'drop', 'of', 'brandy'];['wan', 'na', 'try', 'little', 'drop', 'brandy']
Aunt Marge;A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh?;['a', 'little', 'drop', 'of', 'for'];['a', 'little', 'drop', 'of', 'for'];['little', 'drop']
Aunt Marge;What are you smirking at?;['what', 'are', 'you', 'smirking', 'at'];['what', 'are', 'you', 'smirking', 'at'];['smirking']
Aunt Marge;Where did you send the boy, Vernon?;['where', 'did', 'you', 'send', 'the', 'boy', 'vernon'];['where', 'did', 'you', 'send', 'the', 'boy', 'vernon'];['send', 'boy', 'vernon']
Uncle Vernon;St. Brutus'. It's a fine institution for hopeless cases.;['brutus', 'it', 'a', 'fine', 'institution', 'for', 'hopeless', 'cases'];['brutus', 'it', 'a', 'fine', 'institution', 'for', 'hopeless', 'case'];['brutus', 'fine', 'institution', 'hopeless', 'case']
Aunt Marge;Do they use a cane at St. Brutus', boy?;['do', 'they', 'use', 'a', 'cane', 'at', 'brutus', 'boy'];['do', 'they', 'use', 'a', 'cane', 'at', 'brutus', 'boy'];['use', 'cane', 'brutus', 'boy']
Harry;Oh, yeah.;['oh', 'yeah'];['oh', 'yeah'];['oh', 'yeah']
Harry;Yeah. I've been beaten loads of times.;['yeah', 'i', 'been', 'beaten', 'loads', 'of', 'times'];['yeah', 'i', 'been', 'beaten', 'load', 'of', 'time'];['yeah', 'beaten', 'load', 'time']
Aunt Marge;Excellent. I won't have this namby-pamby...wishy-washy nonsense about not beating people who deserve it.;['excellent', 'i', 'wo', 'have', 'this', 'nonsense', 'about', 'not', 'beating', 'people', 'who', 'deserve', 'it'];['excellent', 'i', 'wo', 'have', 'this', 'nonsense', 'about', 'not', 'beating', 'people', 'who', 'deserve', 'it'];['excellent', 'wo', 'nonsense', 'beating', 'people', 'deserve']
Aunt Marge;You mustn't blame yourself about how this one turned out.;['you', 'must', 'blame', 'yourself', 'about', 'how', 'this', 'one', 'turned', 'out'];['you', 'must', 'blame', 'yourself', 'about', 'how', 'this', 'one', 'turned', 'out'];['must', 'blame', 'one', 'turned']
Aunt Marge;It's all to do with blood.;['it', 'all', 'to', 'do', 'with', 'blood'];['it', 'all', 'to', 'do', 'with', 'blood'];['blood']
Aunt Marge;Bad blood will out.;['bad', 'blood', 'will', 'out'];['bad', 'blood', 'will', 'out'];['bad', 'blood']
Aunt Marge;What is it the boy's father did, Petunia?;['what', 'is', 'it', 'the', 'boy', 'father', 'did', 'petunia'];['what', 'is', 'it', 'the', 'boy', 'father', 'did', 'petunia'];['boy', 'father', 'petunia']
Aunt Petunia;Nothing. He didn't work.;['nothing', 'he', 'did', 'work'];['nothing', 'he', 'did', 'work'];['nothing', 'work']
Aunt Petunia;He was unemployed.;['he', 'was', 'unemployed'];['he', 'wa', 'unemployed'];['unemployed']
Aunt Marge;And a drunk too, no doubt?;['and', 'a', 'drunk', 'too', 'no', 'doubt'];['and', 'a', 'drunk', 'too', 'no', 'doubt'];['drunk', 'doubt']
Harry;That's a lie.;['that', 'a', 'lie'];['that', 'a', 'lie'];['lie']
Aunt Marge;What did you say?;['what', 'did', 'you', 'say'];['what', 'did', 'you', 'say'];['say']
Harry;My dad wasn't a drunk.;['my', 'dad', 'was', 'a', 'drunk'];['my', 'dad', 'wa', 'a', 'drunk'];['dad', 'drunk']
Aunt Marge;Don't worry. Don't fuss, Petunia.;['do', 'worry', 'do', 'fuss', 'petunia'];['do', 'worry', 'do', 'fuss', 'petunia'];['worry', 'fuss', 'petunia']
Aunt Marge;I have a very firm grip.;['i', 'have', 'a', 'very', 'firm', 'grip'];['i', 'have', 'a', 'very', 'firm', 'grip'];['firm', 'grip']
Uncle Vernon;I think it's time you went to bed.;['i', 'think', 'it', 'time', 'you', 'went', 'to', 'bed'];['i', 'think', 'it', 'time', 'you', 'went', 'to', 'bed'];['think', 'time', 'went', 'bed']
Aunt Marge;Quiet, Vernon. You, clean it up.;['quiet', 'vernon', 'you', 'clean', 'it', 'up'];['quiet', 'vernon', 'you', 'clean', 'it', 'up'];['quiet', 'vernon', 'clean']
Aunt Marge;Actually, it's nothing to do with the father.;['actually', 'it', 'nothing', 'to', 'do', 'with', 'the', 'father'];['actually', 'it', 'nothing', 'to', 'do', 'with', 'the', 'father'];['actually', 'nothing', 'father']
Aunt Marge;It's all to do with the mother.;['it', 'all', 'to', 'do', 'with', 'the', 'mother'];['it', 'all', 'to', 'do', 'with', 'the', 'mother'];['mother']
Aunt Marge;You see it all the time with dogs.;['you', 'see', 'it', 'all', 'the', 'time', 'with', 'dogs'];['you', 'see', 'it', 'all', 'the', 'time', 'with', 'dog'];['time', 'dog']
Aunt Marge;If something's wrong with the bitch, then something's wrong with the pup.;['if', 'something', 'wrong', 'with', 'the', 'bitch', 'then', 'something', 'wrong', 'with', 'the', 'pup'];['if', 'something', 'wrong', 'with', 'the', 'bitch', 'then', 'something', 'wrong', 'with', 'the', 'pup'];['something', 'wrong', 'bitch', 'something', 'wrong', 'pup']
Harry;Shut up! Shut up!;['shut', 'up', 'shut', 'up'];['shut', 'up', 'shut', 'up'];['shut', 'shut']
Aunt Marge;Right.;['right'];['right'];['right']
Aunt Marge;Let me tell you...;['let', 'me', 'tell', 'you'];['let', 'me', 'tell', 'you'];['let', 'tell']
Aunt Marge;Vernon! Vernon! Vernon, do something!;['vernon', 'vernon', 'vernon', 'do', 'something'];['vernon', 'vernon', 'vernon', 'do', 'something'];['vernon', 'vernon', 'vernon', 'something']
Uncle Vernon;Stop!;['stop'];['stop'];['stop']
Uncle Vernon;I've got you, Marge. I've got you.;['i', 'got', 'you', 'marge', 'i', 'got', 'you'];['i', 'got', 'you', 'marge', 'i', 'got', 'you'];['marge']
Uncle Vernon;Hold on, hold on.;['hold', 'on', 'hold', 'on'];['hold', 'on', 'hold', 'on'];['hold', 'hold']
Uncle Vernon;Get off.;['get', 'off'];['get', 'off'];[]
Aunt Marge;Don't you dare!;['do', 'you', 'dare'];['do', 'you', 'dare'];['dare']
Uncle Vernon;Sorry.;['sorry'];['sorry'];['sorry']
Aunt Petunia;Oh, Vernon.;['oh', 'vernon'];['oh', 'vernon'];['oh', 'vernon']
Uncle Vernon;Oh, God. Marge!;['oh', 'god', 'marge'];['oh', 'god', 'marge'];['oh', 'god', 'marge']
Uncle Vernon;Please! Marge! Come back!;['please', 'marge', 'come', 'back'];['please', 'marge', 'come', 'back'];['please', 'marge', 'back']
Uncle Vernon;You bring her back!;['you', 'bring', 'her', 'back'];['you', 'bring', 'her', 'back'];['bring', 'back']
Uncle Vernon;You bring her back now.;['you', 'bring', 'her', 'back', 'now'];['you', 'bring', 'her', 'back', 'now'];['bring', 'back']
Uncle Vernon;You put her right!;['you', 'put', 'her', 'right'];['you', 'put', 'her', 'right'];['put', 'right']
Harry;No. She deserved what she got.;['no', 'she', 'deserved', 'what', 'she', 'got'];['no', 'she', 'deserved', 'what', 'she', 'got'];['deserved']
Harry;Keep away from me.;['keep', 'away', 'from', 'me'];['keep', 'away', 'from', 'me'];['keep', 'away']
Uncle Vernon;You can't do magic outside school.;['you', 'ca', 'do', 'magic', 'outside', 'school'];['you', 'ca', 'do', 'magic', 'outside', 'school'];['ca', 'magic', 'outside', 'school']
Harry;Yeah? Try me.;['yeah', 'try', 'me'];['yeah', 'try', 'me'];['yeah', 'try']
Uncle Vernon;They won't let you back now.;['they', 'wo', 'let', 'you', 'back', 'now'];['they', 'wo', 'let', 'you', 'back', 'now'];['wo', 'let', 'back']
Uncle Vernon;You've nowhere to go.;['you', 'nowhere', 'to', 'go'];['you', 'nowhere', 'to', 'go'];['nowhere']
Harry;I don't care.;['i', 'do', 'care'];['i', 'do', 'care'];['care']
Harry;Anywhere is better than here.;['anywhere', 'is', 'better', 'than', 'here'];['anywhere', 'is', 'better', 'than', 'here'];['anywhere', 'better']
Stan Shunpike;Welcome to the Knight Bus...emergency transport for the stranded witch or wizard.;['welcome', 'to', 'the', 'knight', 'bus', 'emergency', 'transport', 'for', 'the', 'stranded', 'witch', 'or', 'wizard'];['welcome', 'to', 'the', 'knight', 'bus', 'emergency', 'transport', 'for', 'the', 'stranded', 'witch', 'or', 'wizard'];['welcome', 'knight', 'bus', 'emergency', 'transport', 'stranded', 'witch', 'wizard']
Stan Shunpike;My name is Stan Shunpike, and I will be your conductor for this evening.;['my', 'name', 'is', 'stan', 'shunpike', 'and', 'i', 'will', 'be', 'your', 'conductor', 'for', 'this', 'evening'];['my', 'name', 'is', 'stan', 'shunpike', 'and', 'i', 'will', 'be', 'your', 'conductor', 'for', 'this', 'evening'];['name', 'stan', 'shunpike', 'conductor', 'evening']
Stan Shunpike;What you doing down there?;['what', 'you', 'doing', 'down', 'there'];['what', 'you', 'doing', 'down', 'there'];[]
Harry;I fell over.;['i', 'fell', 'over'];['i', 'fell', 'over'];['fell']
Stan Shunpike;What you fall over for?;['what', 'you', 'fall', 'over', 'for'];['what', 'you', 'fall', 'over', 'for'];['fall']
Harry;I didn't do it on purpose.;['i', 'did', 'do', 'it', 'on', 'purpose'];['i', 'did', 'do', 'it', 'on', 'purpose'];['purpose']
Stan Shunpike;Well, come on, then.;['well', 'come', 'on', 'then'];['well', 'come', 'on', 'then'];['well']
Stan Shunpike;Let's not wait for the grass to grow.;['let', 'not', 'wait', 'for', 'the', 'grass', 'to', 'grow'];['let', 'not', 'wait', 'for', 'the', 'grass', 'to', 'grow'];['let', 'wait', 'grass', 'grow']
Stan Shunpike;What you looking at?;['what', 'you', 'looking', 'at'];['what', 'you', 'looking', 'at'];['looking']
Harry;Nothing.;['nothing'];['nothing'];['nothing']
Stan Shunpike;Well, come on, then. In.;['well', 'come', 'on', 'then', 'in'];['well', 'come', 'on', 'then', 'in'];['well']
Stan Shunpike;No, no, no. I'll get this.;['no', 'no', 'no', 'i', 'get', 'this'];['no', 'no', 'no', 'i', 'get', 'this'];[]
Stan Shunpike;You get in.;['you', 'get', 'in'];['you', 'get', 'in'];[]
Stan Shunpike;Come on. Come on. Move on, move on.;['come', 'on', 'come', 'on', 'move', 'on', 'move', 'on'];['come', 'on', 'come', 'on', 'move', 'on', 'move', 'on'];['move', 'move']
Stan Shunpike;Take her away, Ern.;['take', 'her', 'away', 'ern'];['take', 'her', 'away', 'ern'];['take', 'away', 'ern']
Shrunken Head;Yeah, take it away, Ernie.;['yeah', 'take', 'it', 'away', 'ernie'];['yeah', 'take', 'it', 'away', 'ernie'];['yeah', 'take', 'away', 'ernie']
Shrunken Head;It's going to be a bumpy ride.;['it', 'going', 'to', 'be', 'a', 'bumpy', 'ride'];['it', 'going', 'to', 'be', 'a', 'bumpy', 'ride'];['going', 'bumpy', 'ride']
Stan Shunpike;What did you say your name was?;['what', 'did', 'you', 'say', 'your', 'name', 'was'];['what', 'did', 'you', 'say', 'your', 'name', 'wa'];['say', 'name']
Harry;I didn't.;['i', 'did'];['i', 'did'];[]
Stan Shunpike;Where abouts are you headed?;['where', 'abouts', 'are', 'you', 'headed'];['where', 'abouts', 'are', 'you', 'headed'];['abouts', 'headed']
Harry;he Leaky Cauldron. That's in London.;['he', 'leaky', 'cauldron', 'that', 'in', 'london'];['he', 'leaky', 'cauldron', 'that', 'in', 'london'];['leaky', 'cauldron', 'london']
Stan Shunpike;"You hear that? ""The Leaky Cauldron. That's in London.""";['you', 'hear', 'that', 'the', 'leaky', 'cauldron', 'that', 'in', 'london'];['you', 'hear', 'that', 'the', 'leaky', 'cauldron', 'that', 'in', 'london'];['hear', 'leaky', 'cauldron', 'london']
Shrunken Head;The Leaky Cauldron.;['the', 'leaky', 'cauldron'];['the', 'leaky', 'cauldron'];['leaky', 'cauldron']
Shrunken Head;If you have pea soup make sure you eat it before it eats you.;['if', 'you', 'have', 'pea', 'soup', 'make', 'sure', 'you', 'eat', 'it', 'before', 'it', 'eats', 'you'];['if', 'you', 'have', 'pea', 'soup', 'make', 'sure', 'you', 'eat', 'it', 'before', 'it', 'eats', 'you'];['pea', 'soup', 'make', 'sure', 'eat', 'eats']
Harry;But the Muggles. Can't they see us?;['but', 'the', 'muggles', 'ca', 'they', 'see', 'us'];['but', 'the', 'muggles', 'ca', 'they', 'see', 'u'];['muggles', 'ca', 'u']
Stan Shunpike;Muggles? They don't see nothing, do they?;['muggles', 'they', 'do', 'see', 'nothing', 'do', 'they'];['muggles', 'they', 'do', 'see', 'nothing', 'do', 'they'];['muggles', 'nothing']
Stan Shunpike;No, but if you jab them with a fork, they feel.;['no', 'but', 'if', 'you', 'jab', 'them', 'with', 'a', 'fork', 'they', 'feel'];['no', 'but', 'if', 'you', 'jab', 'them', 'with', 'a', 'fork', 'they', 'feel'];['jab', 'fork', 'feel']
Shrunken Head;Ernie, little old lady at 12 o'clock!;['ernie', 'little', 'old', 'lady', 'at'];['ernie', 'little', 'old', 'lady', 'at'];['ernie', 'little', 'old', 'lady']
Shrunken Head;Ten, nine, eight...seven, six, five...four, three, three and a half...two, one and three quarters.;['ten', 'nine', 'eight', 'seven', 'six', 'five', 'four', 'three', 'three', 'and', 'a', 'half', 'two', 'one', 'and', 'three', 'quarters'];['ten', 'nine', 'eight', 'seven', 'six', 'five', 'four', 'three', 'three', 'and', 'a', 'half', 'two', 'one', 'and', 'three', 'quarter'];['ten', 'nine', 'eight', 'seven', 'six', 'five', 'four', 'three', 'three', 'half', 'two', 'one', 'three', 'quarter']
Shrunken Head;Yes!;['yes'];['yes'];[]
Harry;Who is that? That man.;['who', 'is', 'that', 'that', 'man'];['who', 'is', 'that', 'that', 'man'];['man']
Stan Shunpike;Who is that? Who is...?;['who', 'is', 'that', 'who', 'is'];['who', 'is', 'that', 'who', 'is'];[]
Stan Shunpike;That is Sirius Black, that is.;['that', 'is', 'sirius', 'black', 'that', 'is'];['that', 'is', 'sirius', 'black', 'that', 'is'];['sirius', 'black']
Stan Shunpike;Don't tell me you've never been hearing of Sirius Black.;['do', 'tell', 'me', 'you', 'never', 'been', 'hearing', 'of', 'sirius', 'black'];['do', 'tell', 'me', 'you', 'never', 'been', 'hearing', 'of', 'sirius', 'black'];['tell', 'never', 'hearing', 'sirius', 'black']
Stan Shunpike;He's a murderer.;['he', 'a', 'murderer'];['he', 'a', 'murderer'];['murderer']
Stan Shunpike;Got himself locked up in Azkaban for it.;['got', 'himself', 'locked', 'up', 'in', 'azkaban', 'for', 'it'];['got', 'himself', 'locked', 'up', 'in', 'azkaban', 'for', 'it'];['locked', 'azkaban']
Harry;How did he escape?;['how', 'did', 'he', 'escape'];['how', 'did', 'he', 'escape'];['escape']
Stan Shunpike;Well, that's the question, isn't it?;['well', 'that', 'the', 'question', 'is', 'it'];['well', 'that', 'the', 'question', 'is', 'it'];['well', 'question']
Stan Shunpike;He's the first one that done it.;['he', 'the', 'first', 'one', 'that', 'done', 'it'];['he', 'the', 'first', 'one', 'that', 'done', 'it'];['first', 'one', 'done']
Stan Shunpike;He was a big supporter of You-Know-Who.;['he', 'was', 'a', 'big', 'supporter', 'of'];['he', 'wa', 'a', 'big', 'supporter', 'of'];['big', 'supporter']
Stan Shunpike;I reckon you've heard of him.;['i', 'reckon', 'you', 'heard', 'of', 'him'];['i', 'reckon', 'you', 'heard', 'of', 'him'];['reckon', 'heard']
Harry;Yeah. Him I've heard of.;['yeah', 'him', 'i', 'heard', 'of'];['yeah', 'him', 'i', 'heard', 'of'];['yeah', 'heard']
Shrunken Head;Ernie, two double-deckers at 12 o'clock.;['ernie', 'two', 'at'];['ernie', 'two', 'at'];['ernie', 'two']
Shrunken Head;They're getting closer, Ernie.;['they', 'getting', 'closer', 'ernie'];['they', 'getting', 'closer', 'ernie'];['getting', 'closer', 'ernie']
Shrunken Head;Ernie, they're right on top of us!;['ernie', 'they', 'right', 'on', 'top', 'of', 'us'];['ernie', 'they', 'right', 'on', 'top', 'of', 'u'];['ernie', 'right', 'top', 'u']
Shrunken Head;Mind your head.;['mind', 'your', 'head'];['mind', 'your', 'head'];['mind', 'head']
Shrunken Head;Hey, guys? Guys?;['hey', 'guys', 'guys'];['hey', 'guy', 'guy'];['hey', 'guy', 'guy']
Shrunken Head;Why the long faces?;['why', 'the', 'long', 'faces'];['why', 'the', 'long', 'face'];['long', 'face']
Shrunken Head;Yeah, yeah. Nearly there. Nearly there.;['yeah', 'yeah', 'nearly', 'there', 'nearly', 'there'];['yeah', 'yeah', 'nearly', 'there', 'nearly', 'there'];['yeah', 'yeah', 'nearly', 'nearly']
Stan Shunpike;The Leaky Cauldron.;['the', 'leaky', 'cauldron'];['the', 'leaky', 'cauldron'];['leaky', 'cauldron']
Shrunken Head;Next stop, Knockturn Alley.;['next', 'stop', 'knockturn', 'alley'];['next', 'stop', 'knockturn', 'alley'];['next', 'stop', 'knockturn', 'alley']
Tom;Mr. Potter, at last.;['potter', 'at', 'last'];['potter', 'at', 'last'];['potter', 'last']
Stan Shunpike;Take it away, Ern.;['take', 'it', 'away', 'ern'];['take', 'it', 'away', 'ern'];['take', 'away', 'ern']
Shrunken Head;Yeah, take it away, Ernie!;['yeah', 'take', 'it', 'away', 'ernie'];['yeah', 'take', 'it', 'away', 'ernie'];['yeah', 'take', 'away', 'ernie']
Tom;Room 11.;['room'];['room'];['room']
Harry;Hedwig.;['hedwig'];['hedwig'];['hedwig']
Tom;Right smart bird you got there, Mr. Potter.;['right', 'smart', 'bird', 'you', 'got', 'there', 'potter'];['right', 'smart', 'bird', 'you', 'got', 'there', 'potter'];['right', 'smart', 'bird', 'potter']
Tom;He arrived here just five minutes before yourself.;['he', 'arrived', 'here', 'just', 'five', 'minutes', 'before', 'yourself'];['he', 'arrived', 'here', 'just', 'five', 'minute', 'before', 'yourself'];['arrived', 'five', 'minute']
Fudge;As Minister for Magic, it is my duty to inform you, Mr. Potter earlier this evening your uncle's sister was located a little south of Sheffield, circling a chimney stack.;['as', 'minister', 'for', 'magic', 'it', 'is', 'my', 'duty', 'to', 'inform', 'you', 'potter', 'earlier', 'this', 'evening', 'your', 'uncle', 'sister', 'was', 'located', 'a', 'little', 'south', 'of', 'sheffield', 'circling', 'a', 'chimney', 'stack'];['a', 'minister', 'for', 'magic', 'it', 'is', 'my', 'duty', 'to', 'inform', 'you', 'potter', 'earlier', 'this', 'evening', 'your', 'uncle', 'sister', 'wa', 'located', 'a', 'little', 'south', 'of', 'sheffield', 'circling', 'a', 'chimney', 'stack'];['minister', 'magic', 'duty', 'inform', 'potter', 'earlier', 'evening', 'uncle', 'sister', 'located', 'little', 'south', 'sheffield', 'circling', 'chimney', 'stack']
Fudge;The Accidental Magic Reversal Department was dispatched immediately.;['the', 'accidental', 'magic', 'reversal', 'department', 'was', 'dispatched', 'immediately'];['the', 'accidental', 'magic', 'reversal', 'department', 'wa', 'dispatched', 'immediately'];['accidental', 'magic', 'reversal', 'department', 'dispatched', 'immediately']
Fudge;She has been properly punctured and her memory modified.;['she', 'has', 'been', 'properly', 'punctured', 'and', 'her', 'memory', 'modified'];['she', 'ha', 'been', 'properly', 'punctured', 'and', 'her', 'memory', 'modified'];['properly', 'punctured', 'memory', 'modified']
Fudge;She will have no recollection of the incident whatsoever.;['she', 'will', 'have', 'no', 'recollection', 'of', 'the', 'incident', 'whatsoever'];['she', 'will', 'have', 'no', 'recollection', 'of', 'the', 'incident', 'whatsoever'];['recollection', 'incident', 'whatsoever']
Fudge;So that's that and no harm done.;['so', 'that', 'that', 'and', 'no', 'harm', 'done'];['so', 'that', 'that', 'and', 'no', 'harm', 'done'];['harm', 'done']
Fudge;Pea soup?;['pea', 'soup'];['pea', 'soup'];['pea', 'soup']
Harry;No, thank you. Minister?;['no', 'thank', 'you', 'minister'];['no', 'thank', 'you', 'minister'];['thank', 'minister']
Fudge;Yes?;['yes'];['yes'];[]
Harry;I don't understand.;['i', 'do', 'understand'];['i', 'do', 'understand'];['understand']
Fudge;Understand?;['understand'];['understand'];['understand']
Harry;I broke the law. Underage wizards can't use magic at home.;['i', 'broke', 'the', 'law', 'underage', 'wizards', 'ca', 'use', 'magic', 'at', 'home'];['i', 'broke', 'the', 'law', 'underage', 'wizard', 'ca', 'use', 'magic', 'at', 'home'];['broke', 'law', 'underage', 'wizard', 'ca', 'use', 'magic', 'home']
Fudge;Come now Harry. The Ministry doesn't send people to Azkaban for blowing up their aunts.;['come', 'now', 'harry', 'the', 'ministry', 'does', 'send', 'people', 'to', 'azkaban', 'for', 'blowing', 'up', 'their', 'aunts'];['come', 'now', 'harry', 'the', 'ministry', 'doe', 'send', 'people', 'to', 'azkaban', 'for', 'blowing', 'up', 'their', 'aunt'];['harry', 'ministry', 'doe', 'send', 'people', 'azkaban', 'blowing', 'aunt']
Fudge;On the other hand, running away like that, given the state of things was very, very irresponsible.;['on', 'the', 'other', 'hand', 'running', 'away', 'like', 'that', 'given', 'the', 'state', 'of', 'things', 'was', 'very', 'very', 'irresponsible'];['on', 'the', 'other', 'hand', 'running', 'away', 'like', 'that', 'given', 'the', 'state', 'of', 'thing', 'wa', 'very', 'very', 'irresponsible'];['hand', 'running', 'away', 'like', 'given', 'state', 'thing', 'irresponsible']
Harry;The state of things, sir?;['the', 'state', 'of', 'things', 'sir'];['the', 'state', 'of', 'thing', 'sir'];['state', 'thing', 'sir']
Fudge;We have a killer on the loose.;['we', 'have', 'a', 'killer', 'on', 'the', 'loose'];['we', 'have', 'a', 'killer', 'on', 'the', 'loose'];['killer', 'loose']
Harry;Sirius Black, you mean?;['sirius', 'black', 'you', 'mean'];['sirius', 'black', 'you', 'mean'];['sirius', 'black', 'mean']
Harry;But what's he got to do with me?;['but', 'what', 'he', 'got', 'to', 'do', 'with', 'me'];['but', 'what', 'he', 'got', 'to', 'do', 'with', 'me'];[]
Fudge;Nothing, of course. You're safe.;['nothing', 'of', 'course', 'you', 'safe'];['nothing', 'of', 'course', 'you', 'safe'];['nothing', 'course', 'safe']
Fudge;And that's what matters.;['and', 'that', 'what', 'matters'];['and', 'that', 'what', 'matter'];['matter']
Fudge;And tomorrow you'll be on your way back to Hogwarts.;['and', 'tomorrow', 'you', 'be', 'on', 'your', 'way', 'back', 'to', 'hogwarts'];['and', 'tomorrow', 'you', 'be', 'on', 'your', 'way', 'back', 'to', 'hogwarts'];['tomorrow', 'way', 'back', 'hogwarts']
Fudge;These are your new schoolbooks.;['these', 'are', 'your', 'new', 'schoolbooks'];['these', 'are', 'your', 'new', 'schoolbook'];['new', 'schoolbook']
Fudge;I took the liberty of having them brought here.;['i', 'took', 'the', 'liberty', 'of', 'having', 'them', 'brought', 'here'];['i', 'took', 'the', 'liberty', 'of', 'having', 'them', 'brought', 'here'];['took', 'liberty', 'brought']
Fudge;Now Tom will show you to your room.;['now', 'tom', 'will', 'show', 'you', 'to', 'your', 'room'];['now', 'tom', 'will', 'show', 'you', 'to', 'your', 'room'];['tom', 'show', 'room']
Harry;Hedwig.;['hedwig'];['hedwig'];['hedwig']
