Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Dudley;you won't believe what this snake is doing!;['you', 'wo', 'believe', 'what', 'this', 'snake', 'is', 'doing'];['you', 'wo', 'believe', 'what', 'this', 'snake', 'is', 'doing'];['wo', 'believe', 'snake']
Snake;Thanks.;['thanks'];['thanks'];['thanks']
Harry;Anytime.;['anytime'];['anytime'];['anytime']
Someone;Snake!;['snake'];['snake'];['snake']
Dudley;Mum! Mummy! Help me!;['mum', 'mummy', 'help', 'me'];['mum', 'mummy', 'help', 'me'];['mum', 'mummy', 'help']
Petunia;My darling boy!;['my', 'darling', 'boy'];['my', 'darling', 'boy'];['darling', 'boy']
Petunia;How did you get in there?;['how', 'did', 'you', 'get', 'in', 'there'];['how', 'did', 'you', 'get', 'in', 'there'];[]
Petunia;Who did this?;['who', 'did', 'this'];['who', 'did', 'this'];[]
Petunia;How did you get in there?;['how', 'did', 'you', 'get', 'in', 'there'];['how', 'did', 'you', 'get', 'in', 'there'];[]
Petunia;ls there a snake?;['ls', 'there', 'a', 'snake'];['l', 'there', 'a', 'snake'];['l', 'snake']
Petunia;It's all right, sweetheart.;['it', 'all', 'right', 'sweetheart'];['it', 'all', 'right', 'sweetheart'];['right', 'sweetheart']
Petunia;We'll get you out of these cold clothes.;['we', 'get', 'you', 'out', 'of', 'these', 'cold', 'clothes'];['we', 'get', 'you', 'out', 'of', 'these', 'cold', 'clothes'];['cold', 'clothes']
Vernon;What happened?;['what', 'happened'];['what', 'happened'];['happened']
Harry;I swear, I don't know!;['i', 'swear', 'i', 'do', 'know'];['i', 'swear', 'i', 'do', 'know'];['swear']
Harry;One minute the glass was there and then it was gone, it was like magic.;['one', 'minute', 'the', 'glass', 'was', 'there', 'and', 'then', 'it', 'was', 'gone', 'it', 'was', 'like', 'magic'];['one', 'minute', 'the', 'glass', 'wa', 'there', 'and', 'then', 'it', 'wa', 'gone', 'it', 'wa', 'like', 'magic'];['one', 'minute', 'glass', 'gone', 'like', 'magic']
Vernon;There's no such thing as magic.;['there', 'no', 'such', 'thing', 'as', 'magic'];['there', 'no', 'such', 'thing', 'a', 'magic'];['thing', 'magic']
Petunia;And smile!;['and', 'smile'];['and', 'smile'];['smile']
Petunia;Vernon, just look at him!;['vernon', 'just', 'look', 'at', 'him'];['vernon', 'just', 'look', 'at', 'him'];['vernon', 'look']
Petunia;I can't believe it!;['i', 'ca', 'believe', 'it'];['i', 'ca', 'believe', 'it'];['ca', 'believe']
Petunia;In just a week, he'll be off to Smeltings.;['in', 'just', 'a', 'week', 'he', 'be', 'off', 'to', 'smeltings'];['in', 'just', 'a', 'week', 'he', 'be', 'off', 'to', 'smeltings'];['week', 'smeltings']
Vernon;Caveat Smeltonia.;['caveat', 'smeltonia'];['caveat', 'smeltonia'];['caveat', 'smeltonia']
Vernon;Proudest moment of my life.;['proudest', 'moment', 'of', 'my', 'life'];['proudest', 'moment', 'of', 'my', 'life'];['proudest', 'moment', 'life']
Harry;Will I have to wear that too?;['will', 'i', 'have', 'to', 'wear', 'that', 'too'];['will', 'i', 'have', 'to', 'wear', 'that', 'too'];['wear']
Petunia;What? You? Go to Smeltings?;['what', 'you', 'go', 'to', 'smeltings'];['what', 'you', 'go', 'to', 'smeltings'];['smeltings']
Petunia;Don't be so stupid!;['do', 'be', 'so', 'stupid'];['do', 'be', 'so', 'stupid'];['stupid']
Petunia;You're going to go to the state school.;['you', 'going', 'to', 'go', 'to', 'the', 'state', 'school'];['you', 'going', 'to', 'go', 'to', 'the', 'state', 'school'];['going', 'state', 'school']
Petunia;Where you belong.;['where', 'you', 'belong'];['where', 'you', 'belong'];['belong']
Petunia;This is what you'll going to be wearing, when I finish dyeing it.;['this', 'is', 'what', 'you', 'going', 'to', 'be', 'wearing', 'when', 'i', 'finish', 'dyeing', 'it'];['this', 'is', 'what', 'you', 'going', 'to', 'be', 'wearing', 'when', 'i', 'finish', 'dyeing', 'it'];['going', 'wearing', 'finish', 'dyeing']
Harry;That's Dudley's old uniform.;['that', 'dudley', 'old', 'uniform'];['that', 'dudley', 'old', 'uniform'];['dudley', 'old', 'uniform']
Harry;It'll fit me like bits of old elephant skin.;['it', 'fit', 'me', 'like', 'bits', 'of', 'old', 'elephant', 'skin'];['it', 'fit', 'me', 'like', 'bit', 'of', 'old', 'elephant', 'skin'];['fit', 'like', 'bit', 'old', 'elephant', 'skin']
Petunia;It'll fit you well enough.;['it', 'fit', 'you', 'well', 'enough'];['it', 'fit', 'you', 'well', 'enough'];['fit', 'well', 'enough']
Petunia;Go get the post. Go!;['go', 'get', 'the', 'post', 'go'];['go', 'get', 'the', 'post', 'go'];['post']
Vernon;Marge is ill. Ate a funny whelk.;['marge', 'is', 'ate', 'a', 'funny', 'whelk'];['marge', 'is', 'ate', 'a', 'funny', 'whelk'];['marge', 'ate', 'funny', 'whelk']
Dudley;Dad, look! Harry's got a letter!;['dad', 'look', 'harry', 'got', 'a', 'letter'];['dad', 'look', 'harry', 'got', 'a', 'letter'];['dad', 'look', 'harry', 'letter']
Harry;Hey, give it back! It's mine!;['hey', 'give', 'it', 'back', 'it', 'mine'];['hey', 'give', 'it', 'back', 'it', 'mine'];['hey', 'give', 'back', 'mine']
Vernon;Yours? Who'd be writing to you?;['yours', 'who', 'be', 'writing', 'to', 'you'];['yours', 'who', 'be', 'writing', 'to', 'you'];['writing']
Vernon;No more mail through this letterbox.;['no', 'more', 'mail', 'through', 'this', 'letterbox'];['no', 'more', 'mail', 'through', 'this', 'letterbox'];['mail', 'letterbox']
Petunia;Have a lovely day at the office, dear.;['have', 'a', 'lovely', 'day', 'at', 'the', 'office', 'dear'];['have', 'a', 'lovely', 'day', 'at', 'the', 'office', 'dear'];['lovely', 'day', 'office', 'dear']
Vernon;Shoo! Go on.;['shoo', 'go', 'on'];['shoo', 'go', 'on'];['shoo']
Vernon;Fine day, Sunday.;['fine', 'day', 'sunday'];['fine', 'day', 'sunday'];['fine', 'day', 'sunday']
Vernon;In my opinion, best day of the week.;['in', 'my', 'opinion', 'best', 'day', 'of', 'the', 'week'];['in', 'my', 'opinion', 'best', 'day', 'of', 'the', 'week'];['opinion', 'best', 'day', 'week']
Vernon;Why is that, Dudley?;['why', 'is', 'that', 'dudley'];['why', 'is', 'that', 'dudley'];['dudley']
Harry;Because there's no post on Sundays?;['because', 'there', 'no', 'post', 'on', 'sundays'];['because', 'there', 'no', 'post', 'on', 'sunday'];['post', 'sunday']
Vernon;Right you are, Harry!;['right', 'you', 'are', 'harry'];['right', 'you', 'are', 'harry'];['right', 'harry']
Vernon;No post on Sunday.;['no', 'post', 'on', 'sunday'];['no', 'post', 'on', 'sunday'];['post', 'sunday']
Vernon;No blasted letters today! No, sir.;['no', 'blasted', 'letters', 'today', 'no', 'sir'];['no', 'blasted', 'letter', 'today', 'no', 'sir'];['blasted', 'letter', 'today', 'sir']
Vernon;Not one single bloody letter. Not one!;['not', 'one', 'single', 'bloody', 'letter', 'not', 'one'];['not', 'one', 'single', 'bloody', 'letter', 'not', 'one'];['one', 'single', 'bloody', 'letter', 'one']
Vernon;No, sir, not one blasted, miserable...;['no', 'sir', 'not', 'one', 'blasted', 'miserable'];['no', 'sir', 'not', 'one', 'blasted', 'miserable'];['sir', 'one', 'blasted', 'miserable']
Dudley;Stop it!;['stop', 'it'];['stop', 'it'];['stop']
Dudley;Mummy, what's happening?;['mummy', 'what', 'happening'];['mummy', 'what', 'happening'];['mummy', 'happening']
Vernon;Give me that!;['give', 'me', 'that'];['give', 'me', 'that'];['give']
Vernon;Give me that letter!;['give', 'me', 'that', 'letter'];['give', 'me', 'that', 'letter'];['give', 'letter']
Harry;Get off!;['get', 'off'];['get', 'off'];[]
Harry;They're my letters!;['they', 'my', 'letters'];['they', 'my', 'letter'];['letter']
Harry;Let go of me!;['let', 'go', 'of', 'me'];['let', 'go', 'of', 'me'];['let']
Vernon;That's it!;['that', 'it'];['that', 'it'];[]
Vernon;We're going away!;['we', 'going', 'away'];['we', 'going', 'away'];['going', 'away']
Vernon;Far away, where they can't find us!;['far', 'away', 'where', 'they', 'ca', 'find', 'us'];['far', 'away', 'where', 'they', 'ca', 'find', 'u'];['far', 'away', 'ca', 'find', 'u']
Dudley;Daddy's gone mad, hasn't he?;['daddy', 'gone', 'mad', 'has', 'he'];['daddy', 'gone', 'mad', 'ha', 'he'];['daddy', 'gone', 'mad']
Harry;Make a wish, Harry.;['make', 'a', 'wish', 'harry'];['make', 'a', 'wish', 'harry'];['make', 'wish', 'harry']
Vernon;Who's there?;['who', 'there'];['who', 'there'];[]
Hagrid;Sorry about that.;['sorry', 'about', 'that'];['sorry', 'about', 'that'];['sorry']
Vernon;I demand that you leave at once, Sir!;['i', 'demand', 'that', 'you', 'leave', 'at', 'once', 'sir'];['i', 'demand', 'that', 'you', 'leave', 'at', 'once', 'sir'];['demand', 'leave', 'sir']
Vernon;You are breaking and entering!;['you', 'are', 'breaking', 'and', 'entering'];['you', 'are', 'breaking', 'and', 'entering'];['breaking', 'entering']
Hagrid;Dry up, Dursley, you great prune.;['dry', 'up', 'dursley', 'you', 'great', 'prune'];['dry', 'up', 'dursley', 'you', 'great', 'prune'];['dry', 'dursley', 'great', 'prune']
Hagrid;Mind, I haven't seen you since you was a baby, Harry.;['mind', 'i', 'have', 'seen', 'you', 'since', 'you', 'was', 'a', 'baby', 'harry'];['mind', 'i', 'have', 'seen', 'you', 'since', 'you', 'wa', 'a', 'baby', 'harry'];['mind', 'seen', 'since', 'baby', 'harry']
Hagrid;But you're a bit more along than I would have expected.;['but', 'you', 'a', 'bit', 'more', 'along', 'than', 'i', 'would', 'have', 'expected'];['but', 'you', 'a', 'bit', 'more', 'along', 'than', 'i', 'would', 'have', 'expected'];['bit', 'along', 'would', 'expected']
Hagrid;Particularly 'round the middle.;['particularly', 'the', 'middle'];['particularly', 'the', 'middle'];['particularly', 'middle']
Dudley;I'm not Harry.;['i', 'not', 'harry'];['i', 'not', 'harry'];['harry']
Harry;I am.;['i', 'am'];['i', 'am'];[]
Hagrid;Well, of course you are.;['well', 'of', 'course', 'you', 'are'];['well', 'of', 'course', 'you', 'are'];['well', 'course']
Hagrid;Got something for you.;['got', 'something', 'for', 'you'];['got', 'something', 'for', 'you'];['something']
Hagrid;Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.;['afraid', 'i', 'might', 'have', 'sat', 'on', 'it', 'at', 'somepoint', 'but', 'i', 'imagine', 'it', 'taste', 'fine', 'just', 'the', 'same'];['afraid', 'i', 'might', 'have', 'sat', 'on', 'it', 'at', 'somepoint', 'but', 'i', 'imagine', 'it', 'taste', 'fine', 'just', 'the', 'same'];['afraid', 'might', 'sat', 'somepoint', 'imagine', 'taste', 'fine']
Hagrid;Baked it myself, words and all.;['baked', 'it', 'myself', 'words', 'and', 'all'];['baked', 'it', 'myself', 'word', 'and', 'all'];['baked', 'word']
Harry;Thank you.;['thank', 'you'];['thank', 'you'];['thank']
Hagrid;It's not every day that your young man turns 11, now is it?;['it', 'not', 'every', 'day', 'that', 'your', 'young', 'man', 'turns', 'now', 'is', 'it'];['it', 'not', 'every', 'day', 'that', 'your', 'young', 'man', 'turn', 'now', 'is', 'it'];['every', 'day', 'young', 'man', 'turn']
Harry;Excuse me, who are you?;['excuse', 'me', 'who', 'are', 'you'];['excuse', 'me', 'who', 'are', 'you'];['excuse']
Hagrid;Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.;['rubeus', 'hagrid', 'keeper', 'of', 'keys', 'and', 'grounds', 'at', 'hogwarts'];['rubeus', 'hagrid', 'keeper', 'of', 'key', 'and', 'ground', 'at', 'hogwarts'];['rubeus', 'hagrid', 'keeper', 'key', 'ground', 'hogwarts']
Hagrid;Of course, you know all about Hogwarts.;['of', 'course', 'you', 'know', 'all', 'about', 'hogwarts'];['of', 'course', 'you', 'know', 'all', 'about', 'hogwarts'];['course', 'hogwarts']
Harry;Sorry, no.;['sorry', 'no'];['sorry', 'no'];['sorry']
Hagrid;No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?;['no', 'blimey', 'harry', 'did', 'you', 'ever', 'wonder', 'where', 'your', 'mum', 'and', 'dad', 'learned', 'it', 'all'];['no', 'blimey', 'harry', 'did', 'you', 'ever', 'wonder', 'where', 'your', 'mum', 'and', 'dad', 'learned', 'it', 'all'];['blimey', 'harry', 'ever', 'wonder', 'mum', 'dad', 'learned']
Harry;Learnt what?;['learnt', 'what'];['learnt', 'what'];['learnt']
Hagrid;You're a wizard, Harry.;['you', 'a', 'wizard', 'harry'];['you', 'a', 'wizard', 'harry'];['wizard', 'harry']
Harry;I'm a what?;['i', 'a', 'what'];['i', 'a', 'what'];[]
Hagrid;A wizard.;['a', 'wizard'];['a', 'wizard'];['wizard']
Hagrid;And a thumping good one, I'd wager, once you're trained up little.;['and', 'a', 'thumping', 'good', 'one', 'i', 'wager', 'once', 'you', 'trained', 'up', 'little'];['and', 'a', 'thumping', 'good', 'one', 'i', 'wager', 'once', 'you', 'trained', 'up', 'little'];['thumping', 'good', 'one', 'wager', 'trained', 'little']
Harry;No, you've made a mistake.;['no', 'you', 'made', 'a', 'mistake'];['no', 'you', 'made', 'a', 'mistake'];['made', 'mistake']
Harry;I mean...l can't be a wizard.;['i', 'mean', 'l', 'ca', 'be', 'a', 'wizard'];['i', 'mean', 'l', 'ca', 'be', 'a', 'wizard'];['mean', 'l', 'ca', 'wizard']
Harry;I mean, I'm just Harry.;['i', 'mean', 'i', 'just', 'harry'];['i', 'mean', 'i', 'just', 'harry'];['mean', 'harry']
Harry;Just Harry.;['just', 'harry'];['just', 'harry'];['harry']
Hagrid;Well, Just Harry, did you ever make anything happen?;['well', 'just', 'harry', 'did', 'you', 'ever', 'make', 'anything', 'happen'];['well', 'just', 'harry', 'did', 'you', 'ever', 'make', 'anything', 'happen'];['well', 'harry', 'ever', 'make', 'anything', 'happen']
Hagrid;Anything you couldn't explain, when you were angry or scared?;['anything', 'you', 'could', 'explain', 'when', 'you', 'were', 'angry', 'or', 'scared'];['anything', 'you', 'could', 'explain', 'when', 'you', 'were', 'angry', 'or', 'scared'];['anything', 'could', 'explain', 'angry', 'scared']
Harry;Dear Mr. Potter,;['dear', 'potter'];['dear', 'potter'];['dear', 'potter']
Harry;We are pleased to inform you that you have been accepted at Hogwarts School of Witchcraft and Wizardry.;['we', 'are', 'pleased', 'to', 'inform', 'you', 'that', 'you', 'have', 'been', 'accepted', 'at', 'hogwarts', 'school', 'of', 'witchcraft', 'and', 'wizardry'];['we', 'are', 'pleased', 'to', 'inform', 'you', 'that', 'you', 'have', 'been', 'accepted', 'at', 'hogwarts', 'school', 'of', 'witchcraft', 'and', 'wizardry'];['pleased', 'inform', 'accepted', 'hogwarts', 'school', 'witchcraft', 'wizardry']
Vernon;He will not be going there!;['he', 'will', 'not', 'be', 'going', 'there'];['he', 'will', 'not', 'be', 'going', 'there'];['going']
Vernon;We swore when we took him in we'd put a stop to all this rubbish.;['we', 'swore', 'when', 'we', 'took', 'him', 'in', 'we', 'put', 'a', 'stop', 'to', 'all', 'this', 'rubbish'];['we', 'swore', 'when', 'we', 'took', 'him', 'in', 'we', 'put', 'a', 'stop', 'to', 'all', 'this', 'rubbish'];['swore', 'took', 'put', 'stop', 'rubbish']
Harry;You knew? ;['you', 'knew'];['you', 'knew'];['knew']
Harry;You knew all along and you never told me?;['you', 'knew', 'all', 'along', 'and', 'you', 'never', 'told', 'me'];['you', 'knew', 'all', 'along', 'and', 'you', 'never', 'told', 'me'];['knew', 'along', 'never', 'told']
Petunia;Of course we knew.;['of', 'course', 'we', 'knew'];['of', 'course', 'we', 'knew'];['course', 'knew']
Petunia;How could you not be?;['how', 'could', 'you', 'not', 'be'];['how', 'could', 'you', 'not', 'be'];['could']
Petunia;My perfect sister being who she was.;['my', 'perfect', 'sister', 'being', 'who', 'she', 'was'];['my', 'perfect', 'sister', 'being', 'who', 'she', 'wa'];['perfect', 'sister']
